DateRun,DateFirstAnalyzed,JVRunId,JVBatchId,Platform,SampleType,Amplicon,Samples
8/28/2024,02/03/2025,JVN024,JVB3872,Nanopore,Diet,12SVert,95
8/28/2024,02/03/2025,JVN024,JVB3872,Nanopore,Diet,trnL,95
9/12/2024,02/03/2025,JVN027,JVB3872,Nanopore,Diet,12SVert,24
9/12/2024,02/03/2025,JVN027,JVB3872,Nanopore,Diet,trnL,24
10/7/2024,11/27/2024,JV278,JVB3872,Illumina,Diet,12SVert,12
10/15/2024,11/27/2024,JV280,JVB3872,Nanopore,Diet,12SVert,95
10/15/2024,11/27/2024,JV280,JVB3872,Nanopore,Diet,trnL,95
11/25/2024,11/27/2024,JV290,JVB3872,Nanopore,Diet,12SVert,285
11/25/2024,11/27/2024,JV290,JVB3872,Nanopore,Diet,trnL,285
11/25/2024,11/27/2024,JV291,JVB3872,Nanopore,Diet,12SVert,285
11/25/2024,11/27/2024,JV291,JVB3872,Nanopore,Diet,trnL,285
12/23/2024,12/24/2024,JV298,JVB3872,Nanopore,Diet,trnL,95
12/23/2024,12/24/2024,JV299,JVB3872,Nanopore,Diet,12SVert,190
12/23/2024,12/24/2024,JV300,JVB3872,Nanopore,Diet,12SVert,95
12/23/2024,12/24/2024,JV300,JVB3872,Nanopore,Diet,trnL,190
01/13/2025,01/13/2025,JV303,JVB3872,Nanopore,Diet,12SVert,190
01/13/2025,01/13/2025,JV303,JVB3872,Nanopore,Diet,trnL,190
01/21/2025,01/21/2025,JV304,JVB3872,Nanopore,Diet,12SVert,190
01/21/2025,01/21/2025,JV304,JVB3872,Nanopore,Diet,trnL,190
01/26/2025,02/03/2025,JV305,JVB3872,Nanopore,Diet,12SVert,95
01/26/2025,02/03/2025,JV305,JVB3872,Nanopore,Diet,trnL,95
01/26/2025,02/03/2025,JV306,JVB3872,Nanopore,Diet,12SVert,190
01/26/2025,02/03/2025,JV306,JVB3872,Nanopore,Diet,trnL,190
01/29/2025,02/03/2025,JV307,JVB3872,Nanopore,Diet,12SVert,190
01/29/2025,02/03/2025,JV307,JVB3872,Nanopore,Diet,trnL,190
02/03/2025,02/03/2025,JV308,JVB3872,Nanopore,Diet,12SVert,190
02/03/2025,02/03/2025,JV308,JVB3872,Nanopore,Diet,trnL,96
02/06/2025,02/11/2025,JV309,JVB3872,Nanopore,Diet,12SVert,190
02/06/2025,02/11/2025,JV309,JVB3872,Nanopore,Diet,trnL,285
02/10/2025,02/11/2025,JV310,JVB3872,Nanopore,Diet,12SVert,95
02/10/2025,02/11/2025,JV310,JVB3872,Nanopore,Diet,trnL,95
02/14/2025,02/17/2025,JV312,JVB3872,Nanopore,Diet,12SVert,190
02/14/2025,02/17/2025,JV312,JVB3872,Nanopore,Diet,trnL,190
02/17/2025,02/17/2025,JV313,JVB3872,Nanopore,Diet,12SVert,95
02/17/2025,02/17/2025,JV313,JVB3872,Nanopore,Diet,trnL,95
02/17/2025,02/17/2025,JV313,JVB3872,Nanopore,Soil,16S,95
02/21/2025,02/25/2025,JV314,JVB3872,Nanopore,Diet,12SVert,190
02/21/2025,02/25/2025,JV314,JVB3872,Nanopore,Diet,trnL,190
02/25/2025,02/25/2025,JV315,JVB3872,Nanopore,Diet,12SVert,95
02/25/2025,02/25/2025,JV315,JVB3872,Nanopore,Diet,trnL,95
02/25/2025,02/25/2025,JV315,JVB3872,Nanopore,Soil,16S,84
