Comments,objectid,barcode_id,RunId_12SVert,RunId_trnL,DateRun,DateFirstAnalyzed,Reads_12SVert,ESVs_12SVert,Reads_trnL,ESVs_trnL,country,name_of_park,location,location_other,date,year,time,latitude,longitude,habitat_final,habitat,habitat_other,has_it_rained_in_the_past_week,sample_type,species_id,species_id_dna,species_id_dna_common,species_id_other,faecal_age,faecal_age_other,faecal_texture,species_sex,species_age,latrine,swab,swab_barcode_id,collector,notes,kafue_section,znp_written_ID,znp_assumption
,2969,S060227,JV328,JV327,2025-04-02 00:00:00,,15971,2,70204,30,angola,iona,park,,2024-08-22 00:00:00,2024,0.34930555555555554,-16.57036515,12.23871925,shrubland,shrubland,Sheubland,no,faecal,oryx,Oryx gazella,Gemsbok,,1-2_days,,hard,unknown,unknown,no,no,,Mc,,,,
,187,S060229,JV328,JV328,2025-04-02 00:00:00,,16928,1,30466,20,angola,iona,park,,2023-10-22 00:00:00,2023,0.35,-16.90436,12.271,desert_grassplain,desert_grassland,Grassland,no,faecal,springbok,Antidorcas marsupialis,Springbok,,>24hr,,unknown,Unknown,unknown,no,no,,MC,,,,
,1486,S060308,JV328,JV327,2025-04-02 00:00:00,,20496,1,73384,20,angola,iona,park,,2024-08-14 00:00:00,2024,0.39861111111111114,-17.03311898,12.22346774,desert_gravelplain,desert_gravelplain,Gravelplain,no,faecal,cow,Bos taurus,Domestic Cow,,<24hr,,soft,unknown,unknown,no,no,,SC,,,,
,2972,S060317,JV328,JV327,2025-04-02 00:00:00,,18641,1,65678,42,angola,iona,park,,2024-08-22 00:00:00,2024,0.37638888888888888,-16.56549555,12.23531808,shrubland,shrubland,Shrubland,no,faecal,springbok,Antidorcas marsupialis,Springbok,,1-2_days,,hard,unknown,unknown,no,no,,Mc,,,,
,1086,S060356,JV328,JV327,2025-04-02 00:00:00,,11471,6,25489,3,angola,iona,park,,2024-07-31 00:00:00,2024,0.5083333333333333,-16.86434576,11.9340073,desert_gravelplain,desert_gravelplain,Gravel plain,no,faecal,hyaena_brown,Parahyaena brunnea,Brown Hyena,,3-7_days,,soft,unknown,unknown,yes,yes,INP202407S46,SC,INP202407S46,,,
,1490,S060365,JV328,JV328,2025-04-02 00:00:00,,11265,1,25805,13,angola,iona,park,,2024-08-15 00:00:00,2024,0.6743055555555556,-16.97787877,12.53861566,shrubland,shrubland,Shrubland,no,faecal,donkey,Equus caballus,Horse,,<24hr,,soft,unknown,unknown,yes,no,,SC,,,,
,1492,S060372,JV328,JV328,2025-04-02 00:00:00,,10777,2,26472,49,angola,iona,park,,2024-08-16 00:00:00,2024,0.57361111111111107,-16.31937723,12.42247325,shrubland,shrubland,Shrubland,no,faecal,donkey,Equus asinus,Donkey,,<24hr,,soft,unknown,unknown,yes,no,,SC,,,,
,169,S060382,JV328,JV327,2025-04-02 00:00:00,,16580,1,74762,60,angola,iona,park,,2023-10-20 00:00:00,2023,0.66041666666666665,-16.46507,12.39516,desert_grassplain,desert_grassland,Savanna,no,faecal,springbok,Antidorcas marsupialis,Springbok,,>24hr,,unknown,Unknown,unknown,no,no,,MC,,,,
,968,S060399,JV328,JV328,2025-04-02 00:00:00,,16515,1,22127,31,angola,iona,control,,2024-07-25 00:00:00,2024,0.42083333333333334,-15.88684331,12.27353247,desert_gravelplain,desert_gravelplain,Gravel plains,no,faecal,springbok,Antidorcas marsupialis,Springbok,,<24hr,,hard,unknown,unknown,no,no,,Sc,,,,
,1110,S060414,JV328,JV328,2025-04-02 00:00:00,,11652,3,31549,52,angola,iona,park,,2024-08-01 00:00:00,2024,0.49583333333333335,-16.2935734,12.55357021,shrubland,shrubland,Shrubland,no,faecal,donkey,Equus asinus,Donkey,,<24hr,,soft,unknown,unknown,no,no,,MD,,,,
,1114,S060429,JV328,JV328,2025-04-02 00:00:00,,18306,1,28989,54,angola,iona,park,,2024-08-01 00:00:00,2024,0.39027777777777778,-16.65068407,12.37954972,shrubland,shrubland,Shrubland,no,faecal,springbok,Antidorcas marsupialis,Springbok,,<24hr,,soft,unknown,unknown,no,no,,MD,,,,
,3005,S060438,JV328,JV328,2025-04-02 00:00:00,,15425,4,23514,33,angola,iona,control,,2024-08-22 00:00:00,2024,0.53680555555555554,-16.25368215,12.30375527,shrubland,"riverine,desert",,no,faecal,donkey,Equus asinus,Donkey,,1-2_days,,hard,unknown,adult,no,no,,,,,,
,966,S060441,JV328,JV327,2025-04-02 00:00:00,,17787,10,39138,53,angola,iona,control,,2024-07-24 00:00:00,2024,0.56666666666666665,-16.17486148,12.52567753,shrubland,shrubland,Shrubland,no,faecal,dik_dik_damara,Antidorcas marsupialis,Springbok,,1-2_days,,hard,unknown,unknown,no,no,,Sc,,,,
,4205,S060447,JV328,JV328,2025-04-02 00:00:00,,18839,1,28539,11,angola,iona,park,,2024-09-24 00:00:00,2024,0.65763888888888888,-16.61710296,12.66782835,shrubland,shrubland,Shrubland,no,faecal,cow,Bos taurus,Domestic Cow,,<24hr,,soft,unknown,adult,no,no,,MD,,,,
