DateRun,DateFirstAnalyzed,JVRunId,JVBatchId,Platform,SampleType,Amplicon,Samples
8/28/24,2/3/25,JVN024,JVB3872,Nanopore,Diet,12SVert,95
8/28/24,2/3/25,JVN024,JVB3872,Nanopore,Diet,trnL,95
9/12/24,2/3/25,JVN027,JVB3872,Nanopore,Diet,12SVert,24
9/12/24,2/3/25,JVN027,JVB3872,Nanopore,Diet,trnL,24
10/7/24,11/27/24,JV278,JVB3872,Illumina,Diet,12SVert,12
10/15/24,11/27/24,JV280,JVB3872,Nanopore,Diet,12SVert,95
10/15/24,11/27/24,JV280,JVB3872,Nanopore,Diet,trnL,95
11/25/24,11/27/24,JV290,JVB3872,Nanopore,Diet,12SVert,285
11/25/24,11/27/24,JV290,JVB3872,Nanopore,Diet,trnL,285
11/25/24,11/27/24,JV291,JVB3872,Nanopore,Diet,12SVert,285
11/25/24,11/27/24,JV291,JVB3872,Nanopore,Diet,trnL,285
12/23/24,12/24/24,JV298,JVB3872,Nanopore,Diet,trnL,95
12/23/24,12/24/24,JV299,JVB3872,Nanopore,Diet,12SVert,190
12/23/24,12/24/24,JV300,JVB3872,Nanopore,Diet,12SVert,95
12/23/24,12/24/24,JV300,JVB3872,Nanopore,Diet,trnL,190
1/13/25,1/13/25,JV303,JVB3872,Nanopore,Diet,12SVert,190
1/13/25,1/13/25,JV303,JVB3872,Nanopore,Diet,trnL,190
1/21/25,1/21/25,JV304,JVB3872,Nanopore,Diet,12SVert,190
1/21/25,1/21/25,JV304,JVB3872,Nanopore,Diet,trnL,190
1/26/25,2/3/25,JV305,JVB3872,Nanopore,Diet,12SVert,95
1/26/25,2/3/25,JV305,JVB3872,Nanopore,Diet,trnL,95
1/26/25,2/3/25,JV306,JVB3872,Nanopore,Diet,12SVert,190
1/26/25,2/3/25,JV306,JVB3872,Nanopore,Diet,trnL,190
1/29/25,2/3/25,JV307,JVB3872,Nanopore,Diet,12SVert,190
1/29/25,2/3/25,JV307,JVB3872,Nanopore,Diet,trnL,190
2/3/25,2/3/25,JV308,JVB3872,Nanopore,Diet,12SVert,190
2/3/25,2/3/25,JV308,JVB3872,Nanopore,Diet,trnL,96
2/6/25,2/11/25,JV309,JVB3872,Nanopore,Diet,12SVert,190
2/6/25,2/11/25,JV309,JVB3872,Nanopore,Diet,trnL,285
2/10/25,2/11/25,JV310,JVB3872,Nanopore,Diet,12SVert,95
2/10/25,2/11/25,JV310,JVB3872,Nanopore,Diet,trnL,95
2/14/25,2/17/25,JV312,JVB3872,Nanopore,Diet,12SVert,190
2/14/25,2/17/25,JV312,JVB3872,Nanopore,Diet,trnL,190
2/17/25,2/17/25,JV313,JVB3872,Nanopore,Diet,12SVert,95
2/17/25,2/17/25,JV313,JVB3872,Nanopore,Diet,trnL,95
2/17/25,2/17/25,JV313,JVB3872,Nanopore,Soil,16S,95
2/21/25,2/25/25,JV314,JVB3872,Nanopore,Diet,12SVert,190
2/21/25,2/25/25,JV314,JVB3872,Nanopore,Diet,trnL,190
2/25/25,2/25/25,JV315,JVB3872,Nanopore,Diet,12SVert,95
2/25/25,2/25/25,JV315,JVB3872,Nanopore,Diet,trnL,95
2/25/25,2/25/25,JV315,JVB3872,Nanopore,Soil,16S,84
3/6/25,3/14/25,JV316,JVB3872,Nanopore,Diet,12SVert,95
3/6/25,3/14/25,JV316,JVB3872,Nanopore,Diet,trnL,95
3/7/25,3/14/25,JV317,JVB3872,Nanopore,Diet,12SVert,95
3/7/25,3/14/25,JV317,JVB3872,Nanopore,Diet,trnL,95
3/10/25,3/14/25,JV318,JVB3872,Nanopore,Diet,12SVert,190
3/10/25,3/14/25,JV318,JVB3872,Nanopore,Diet,trnL,285
3/10/25,3/14/25,JV319,JVB3872,Nanopore,Diet,12SVert,190
3/12/25,3/14/25,JV320,JVB3872,Nanopore,Diet,12SVert,95
3/12/25,3/14/25,JV320,JVB3872,Nanopore,Diet,trnL,190
3/14/25,3/14/25,JV321,JVB3872,Nanopore,Diet,12SVert,95
3/14/25,3/14/25,JV321,JVB3872,Nanopore,Diet,trnL,95
3/20/25,3/20/25,JV322,JVB3872,Nanopore,Diet,12SVert,190
3/20/25,3/20/25,JV322,JVB3872,Nanopore,Diet,trnL,95
