"Comments","objectid","barcode_id","RunId_12SVert","RunId_trnL","DateRun","DateFirstAnalyzed","Reads_12SVert","ESVs_12SVert","Reads_trnL","ESVs_trnL","country","name_of_park","location","location_other","date","year","time","latitude","longitude","habitat_final","habitat","habitat_other","has_it_rained_in_the_past_week","sample_type","species_id","species_id_dna","species_id_dna_common","species_id_dna_diet","species_id_other","faecal_age","faecal_age_other","faecal_texture","species_sex","species_age","latrine","swab","swab_barcode_id","collector","notes","kafue_section","znp_written_ID","znp_assumption"
NA,4611,"S079358","JV339","JV339",2025-05-15,2025-05-19,25466,7,70621,43,"rwanda","akagera","park",NA,2024-10-10,2024,"0.3888888888888889",-1.85428499999994,30.743088333,"woodland","woodland",NA,"yes","faecal","elephant_savanna","Loxodonta africana","African Elephant","Herbivore",NA,"<24hr",NA,"soft","unknown","unknown","no","no",NA,"Adrien",NA,NA,NA,NA
NA,4664,"S079360","JV339","JV339",2025-05-15,2025-05-19,22343,7,58189,77,"rwanda","akagera","park",NA,2024-10-11,2024,"0.45555555555555555",-1.88582499999995,30.683623333,"woodland","woodland",NA,"yes","faecal","elephant_savanna","Loxodonta africana","African Elephant","Herbivore",NA,"<24hr",NA,"soft","unknown","unknown","no","no",NA,"ET",NA,NA,NA,NA
NA,1558,"S081725","JV339","JV339",2025-05-15,2025-05-19,28175,20,80822,88,"rwanda","akagera","park",NA,2024-08-19,2024,"0.37847222222222221",-1.61342499999995,30.693916667,"savanna_woodland","savanna_woodland",NA,"no","faecal","elephant_savanna","Loxodonta africana","African Elephant","Herbivore",NA,"1-2_days",NA,"soft","unknown","unknown","no","no",NA,"Emerance","Seems like dropped in 2 days ago.",NA,NA,NA
NA,4612,"S083111","JV339","JV339",2025-05-15,2025-05-19,32435,12,84454,42,"rwanda","akagera","park",NA,2024-10-10,2024,"0.41736111111111113",-1.67799666699994,30.6873,"woodland","woodland",NA,"yes","faecal","elephant_savanna","Loxodonta africana","African Elephant","Herbivore",NA,"<24hr",NA,"soft","unknown","adult","no","no",NA,"Adrien",NA,NA,NA,NA
NA,4663,"S083148","JV339","JV339",2025-05-15,2025-05-19,33002,11,80310,57,"rwanda","akagera","park",NA,2024-10-11,2024,"0.45277777777777778",-1.88593166699996,30.68369,"woodland","woodland",NA,"yes","faecal","elephant_savanna","Loxodonta africana","African Elephant","Herbivore",NA,"<24hr",NA,"soft","unknown","unknown","no","no",NA,"ET",NA,NA,NA,NA
NA,4379,"S079346","JV338","JV338",2025-05-09,2025-05-19,49923,12,110937,70,"rwanda","akagera","park",NA,2024-10-03,2024,"0.47361111111111109",-1.88131666699996,30.736145,"woodland","woodland",NA,"yes","faecal","elephant_savanna","Loxodonta africana","African Elephant","Herbivore",NA,"observed",NA,"soft","male","adult","no","no",NA,"SM",NA,NA,NA,NA
NA,4665,"S079365","JV338","JV338",2025-05-09,2025-05-19,39494,8,69665,63,"rwanda","akagera","park",NA,2024-10-11,2024,"0.45694444444444443",-1.88581666699997,30.683441667,"woodland","woodland",NA,"yes","faecal","elephant_savanna","Loxodonta africana","African Elephant","Herbivore",NA,"<24hr",NA,"soft","unknown","unknown","no","no",NA,"ET",NA,NA,NA,NA
NA,4666,"S079368","JV338","JV338",2025-05-09,2025-05-19,36730,15,60326,53,"rwanda","akagera","park",NA,2024-10-11,2024,"0.4597222222222222",-1.88506833299993,30.683383333,"woodland","woodland",NA,"yes","faecal","elephant_savanna","Loxodonta africana","African Elephant","Herbivore",NA,"3-7_days",NA,"soft","unknown","adult","no","no",NA,"ET",NA,NA,NA,NA
NA,4609,"S079397","JV338","JV338",2025-05-09,2025-05-19,36725,14,58636,68,"rwanda","akagera","park",NA,2024-10-10,2024,"0.38263888888888886",-1.86123166699997,30.740278333,"woodland","woodland",NA,"yes","faecal","elephant_savanna","Loxodonta africana","African Elephant","Herbivore",NA,"<24hr",NA,"soft","unknown","juvenile","no","no",NA,"Emerance",NA,NA,NA,NA
NA,4823,"S079400","JV338","JV336",2025-05-09,2025-05-19,44829,4,26600,81,"rwanda","akagera","park",NA,2024-10-21,2024,"0.59722222222222221",-1.73799666699994,30.743265,"grassland","grassland",NA,"yes","faecal","elephant_savanna","Loxodonta africana","African Elephant","Herbivore",NA,"observed",NA,"soft","male","adult","no","no",NA,"Adrien","Observed EM5 (Adult Male).",NA,NA,NA
NA,4650,"S079441","JV338","JV338",2025-05-09,2025-05-19,41401,17,102112,58,"rwanda","akagera","park",NA,2024-10-11,2024,"0.3923611111111111",-1.88271499999996,30.69795,"woodland","woodland",NA,"yes","faecal","elephant_savanna","Loxodonta africana","African Elephant","Herbivore",NA,"<24hr",NA,"soft","unknown","adult","no","no",NA,"ET",NA,NA,NA,NA
NA,3961,"S079490","JV338","JV336",2025-05-09,2025-05-19,46498,4,27010,54,"rwanda","akagera","park",NA,2024-09-20,2024,"0.34375",-1.87947999999994,30.73677,"woodland","woodland",NA,"no","faecal","elephant_savanna","Loxodonta africana","African Elephant","Herbivore",NA,"<24hr",NA,"soft","unknown","adult","no","no",NA,"SM",NA,NA,NA,NA
NA,3525,"S079501","JV338","JV336",2025-05-09,2025-05-19,30252,10,24531,34,"rwanda","akagera","park",NA,2024-09-05,2024,"0.4513888888888889",-1.50684333299994,30.657871667,"wetlands","wetlands",NA,"no","faecal","elephant_savanna","Loxodonta africana","African Elephant","Herbivore",NA,"<24hr",NA,"soft","unknown","juvenile","no","no",NA,"AN",NA,NA,NA,NA
NA,3826,"S079502","JV338","JV336",2025-05-09,2025-05-19,42489,7,25117,42,"rwanda","akagera","park",NA,2024-09-19,2024,"0.31736111111111109",-1.88038166699993,30.736583333,"woodland","woodland",NA,"no","faecal","elephant_savanna","Loxodonta africana","African Elephant","Herbivore",NA,"<24hr",NA,"soft","unknown","unknown","no","no",NA,"Adrien",NA,NA,NA,NA
NA,3586,"S079538","JV338","JV338",2025-05-09,2025-05-19,41011,11,70103,66,"rwanda","akagera","park",NA,2024-08-30,2024,"0.43611111111111112",-1.69022666699993,30.692063333,"woodland","woodland",NA,"yes","faecal","elephant_savanna","Loxodonta africana","African Elephant","Herbivore",NA,"<24hr",NA,"soft","unknown","adult","no","no",NA,"SM",NA,NA,NA,NA
NA,3495,"S079543","JV338","JV338",2025-05-09,2025-05-19,26042,28,86653,70,"rwanda","akagera","park",NA,2024-08-30,2024,"0.38263888888888886",-1.86389833299995,30.739868333,"woodland","woodland",NA,"yes","faecal","elephant_savanna","Loxodonta africana","African Elephant","Herbivore",NA,"<24hr",NA,"soft","unknown","unknown","no","no",NA,"SM",NA,NA,NA,NA
NA,3520,"S079550","JV338","JV336",2025-05-09,2025-05-19,46691,5,25303,37,"rwanda","akagera","park",NA,2024-09-05,2024,"0.41875000000000001",-1.53207166699996,30.694376667,"woodland","woodland",NA,"no","faecal","elephant_savanna","Loxodonta africana","African Elephant","Herbivore",NA,"<24hr",NA,"soft","unknown","adult","no","no",NA,"Adrien",NA,NA,NA,NA
NA,3967,"S079575","JV338","JV336",2025-05-09,2025-05-19,42587,6,27339,44,"rwanda","akagera","park",NA,2024-09-20,2024,"0.41458333333333336",-1.70550499999996,30.710408333,"savanna_woodland","savanna_woodland",NA,"no","faecal","elephant_savanna","Loxodonta africana","African Elephant","Herbivore",NA,"<24hr",NA,"soft","unknown","adult","no","no",NA,"SM",NA,NA,NA,NA
NA,3513,"S081531","JV338","JV338",2025-05-09,2025-05-19,45961,7,115271,86,"rwanda","akagera","park",NA,2024-09-05,2024,"0.33402777777777776",-1.83672499999994,30.744845,"savanna_woodland","savanna_woodland",NA,"no","faecal","elephant_savanna","Loxodonta africana","African Elephant","Herbivore",NA,"<24hr",NA,"soft","unknown","adult","no","no",NA,"Adrien",NA,NA,NA,NA
NA,3591,"S081542","JV338","JV336",2025-05-09,2025-05-19,42805,11,27399,38,"rwanda","akagera","park",NA,2024-08-30,2024,"0.5493055555555556",-1.40543166699995,30.564831667,"savanna_woodland","savanna_woodland",NA,"yes","faecal","elephant_savanna","Loxodonta africana","African Elephant","Herbivore",NA,"<24hr",NA,"soft","unknown","adult","no","no",NA,"ET",NA,NA,NA,NA
NA,1285,"S081553","JV338","JV338",2025-05-09,2025-05-19,44669,11,94098,112,"rwanda","akagera","park",NA,2024-08-13,2024,"0.31944444444444442",-1.70590724799996,30.71077485,"savanna_woodland","savanna_woodland",NA,"no","faecal","elephant_savanna","Loxodonta africana","African Elephant","Herbivore",NA,"<24hr",NA,"soft","unknown","unknown","no","no",NA,"JM","Driven over by vehicle",NA,NA,NA
NA,1281,"S081558","JV338","JV338",2025-05-09,2025-05-19,49130,8,69742,69,"rwanda","akagera","park",NA,2024-08-13,2024,"0.28680555555555554",-1.88005573099997,30.736580511,"savanna_woodland","savanna_woodland",NA,"no","faecal","elephant_savanna","Loxodonta africana","African Elephant","Herbivore",NA,"<24hr",NA,"soft","male","adult","no","no",NA,"EEM","Loser than normal",NA,NA,NA
NA,4061,"S081606","JV338","JV338",2025-05-09,2025-05-19,42273,9,64791,52,"rwanda","akagera","park",NA,2024-09-24,2024,"0.38194444444444442",-1.88342333299993,30.735036667,"woodland","woodland",NA,"yes","faecal","elephant_savanna","Loxodonta africana","African Elephant","Herbivore",NA,"<24hr",NA,"soft","unknown","unknown","no","no",NA,"Adrien",NA,NA,NA,NA
NA,1193,"S081618","JV338","JV336",2025-05-09,2025-05-19,43797,9,28880,52,"rwanda","akagera","park",NA,2024-08-09,2024,"0.50208333333333333",-1.61616128099996,30.691801754,"savanna_woodland","savanna_woodland",NA,"no","faecal","elephant_savanna","Loxodonta africana","African Elephant","Herbivore",NA,"<24hr",NA,"soft","unknown","adult","no","no",NA,"Edmond","Ef2",NA,NA,NA
NA,3962,"S081625","JV338","JV336",2025-05-09,2025-05-19,42596,12,30621,53,"rwanda","akagera","park",NA,2024-09-20,2024,"0.34861111111111109",-1.87278333299997,30.737813333,"woodland","woodland",NA,"no","faecal","elephant_savanna","Loxodonta africana","African Elephant","Herbivore",NA,"<24hr",NA,"soft","unknown","adult","no","no",NA,"SM",NA,NA,NA,NA
NA,5214,"S081685","JV338","JV338",2025-05-09,2025-05-19,43400,5,92924,77,"rwanda","akagera","park",NA,2024-11-08,2024,"0.68263888888888891",-1.68831666699992,30.692815,"woodland","woodland",NA,"yes","faecal","elephant_savanna","Loxodonta africana","African Elephant","Herbivore",NA,"observed",NA,"soft","male","adult","no","no",NA,"SM",NA,NA,NA,NA
NA,4332,"S081795","JV338","JV338",2025-05-09,2025-05-19,32320,15,79203,85,"rwanda","akagera","park",NA,2024-10-02,2024,"0.34791666666666665",-1.87763333299994,30.737298333,"woodland","woodland",NA,"yes","faecal","elephant_savanna","Loxodonta africana","African Elephant","Herbivore",NA,"<24hr",NA,"soft","unknown","adult","no","no",NA,"Adrien",NA,NA,NA,NA
NA,1435,"S083105","JV338","JV338",2025-05-09,2025-05-19,37181,14,102404,75,"rwanda","akagera","park",NA,2024-08-15,2024,"0.375",-1.55969666699996,30.728221667,"savanna_woodland","savanna_woodland",NA,"yes","faecal","elephant_savanna","Loxodonta africana","African Elephant","Herbivore",NA,"<24hr",NA,"soft","unknown","adult","no","no",NA,"Adrien",NA,NA,NA,NA
NA,4654,"S083107","JV338","JV338",2025-05-09,2025-05-19,33005,12,100730,65,"rwanda","akagera","park",NA,2024-10-11,2024,"0.40833333333333333",-1.88345999999995,30.694965,"woodland","woodland",NA,"yes","faecal","elephant_savanna","Loxodonta africana","African Elephant","Herbivore",NA,"<24hr",NA,"soft","unknown","juvenile","no","no",NA,"ET",NA,NA,NA,NA
NA,3587,"S083141","JV338","JV338",2025-05-09,2025-05-19,39860,20,103090,51,"rwanda","akagera","park",NA,2024-08-30,2024,"0.45624999999999999",-1.58865166699996,30.712806667,"woodland","woodland",NA,"yes","faecal","elephant_savanna","Loxodonta africana","African Elephant","Herbivore",NA,"1-2_days",NA,"soft","unknown","unknown","no","no",NA,"ET",NA,NA,NA,NA
NA,4655,"S079328","JV333","JV333",2025-04-21,2025-04-23,13456,13,41857,51,"rwanda","akagera","park",NA,2024-10-11,2024,"0.41597222222222224",-1.89178999999995,30.685261667,"woodland","woodland",NA,"yes","faecal","elephant_savanna","Loxodonta africana","African Elephant","Herbivore",NA,"<24hr",NA,"soft","unknown","unknown","no","no",NA,"ET",NA,NA,NA,NA
NA,4605,"S079373","JV333","JV334",2025-04-21,2025-04-23,16114,11,31501,41,"rwanda","akagera","park",NA,2024-10-10,2024,"0.36458333333333331",-1.89032666699995,30.730626667,"woodland","woodland",NA,"yes","faecal","elephant_savanna","Loxodonta africana","African Elephant","Herbivore",NA,"<24hr",NA,"soft","unknown","adult","no","no",NA,"Adrien",NA,NA,NA,NA
NA,4610,"S079389","JV333","JV333",2025-04-21,2025-04-23,22329,4,51141,26,"rwanda","akagera","park",NA,2024-10-10,2024,"0.38819444444444445",-1.85407166699997,30.743205,"woodland","woodland",NA,"yes","faecal","elephant_savanna","Loxodonta africana","African Elephant","Herbivore",NA,"<24hr",NA,"soft","unknown","adult","no","no",NA,"Adrien",NA,NA,NA,NA
NA,4660,"S079403","JV333","JV333",2025-04-21,2025-04-23,17190,8,32301,38,"rwanda","akagera","park",NA,2024-10-11,2024,"0.43125000000000002",-1.89348166699994,30.684238333,"woodland","woodland",NA,"yes","faecal","elephant_savanna","Loxodonta africana","African Elephant","Herbivore",NA,"<24hr",NA,"soft","unknown","juvenile","no","no",NA,"ET",NA,NA,NA,NA
NA,4607,"S079411","JV333","JV333",2025-04-21,2025-04-23,15335,3,33500,42,"rwanda","akagera","park",NA,2024-10-10,2024,"0.37847222222222221",-1.86156999999997,30.740306667,"woodland","woodland",NA,"yes","faecal","elephant_savanna","Loxodonta africana","African Elephant","Herbivore",NA,"<24hr",NA,"soft","unknown","adult","no","no",NA,"Adrien",NA,NA,NA,NA
