"Comments","objectid","barcode_id","RunId_12SVert","RunId_trnL","DateRun","DateFirstAnalyzed","Reads_12SVert","ESVs_12SVert","Reads_trnL","ESVs_trnL","country","name_of_park","location","location_other","date","year","time","latitude","longitude","habitat_final","habitat","habitat_other","has_it_rained_in_the_past_week","sample_type","species_id","species_id_dna","species_id_dna_common","species_id_dna_diet","species_id_other","faecal_age","faecal_age_other","faecal_texture","species_sex","species_age","latrine","swab","swab_barcode_id","collector","notes","kafue_section","znp_written_ID","znp_assumption"
NA,4611,"S079358","JV339","JV339","2025/05/15","2025/05/19",25466,7,70621,43,"rwanda","Akagera","park",NA,"2024/10/10",2024,"0.388888889",-1.854285,30.74308833,"woodland","woodland",NA,"yes","faecal","elephant_savanna","Loxodonta africana","African Elephant","Herbivore",NA,"<24hr",NA,"soft","unknown","unknown","no","no",NA,"Adrien",NA,NA,NA,NA
NA,4664,"S079360","JV339","JV339","2025/05/15","2025/05/19",22343,7,58189,77,"rwanda","Akagera","park",NA,"2024/10/11",2024,"0.455555556",-1.885825,30.68362333,"woodland","woodland",NA,"yes","faecal","elephant_savanna","Loxodonta africana","African Elephant","Herbivore",NA,"<24hr",NA,"soft","unknown","unknown","no","no",NA,"ET",NA,NA,NA,NA
NA,1558,"S081725","JV339","JV339","2025/05/15","2025/05/19",28175,20,80822,88,"rwanda","Akagera","park",NA,"2024/08/19",2024,"0.378472222",-1.613425,30.69391667,"savanna_woodland","savanna_woodland",NA,"no","faecal","elephant_savanna","Loxodonta africana","African Elephant","Herbivore",NA,"1-2_days",NA,"soft","unknown","unknown","no","no",NA,"Emerance","Seems like dropped in 2 days ago.",NA,NA,NA
NA,4612,"S083111","JV339","JV339","2025/05/15","2025/05/19",32435,12,84454,42,"rwanda","Akagera","park",NA,"2024/10/10",2024,"0.417361111",-1.677996667,30.6873,"woodland","woodland",NA,"yes","faecal","elephant_savanna","Loxodonta africana","African Elephant","Herbivore",NA,"<24hr",NA,"soft","unknown","adult","no","no",NA,"Adrien",NA,NA,NA,NA
NA,4663,"S083148","JV339","JV339","2025/05/15","2025/05/19",33002,11,80310,57,"rwanda","Akagera","park",NA,"2024/10/11",2024,"0.452777778",-1.885931667,30.68369,"woodland","woodland",NA,"yes","faecal","elephant_savanna","Loxodonta africana","African Elephant","Herbivore",NA,"<24hr",NA,"soft","unknown","unknown","no","no",NA,"ET",NA,NA,NA,NA
NA,4379,"S079346","JV338","JV338","2025/05/09","2025/05/19",49923,12,110937,70,"rwanda","Akagera","park",NA,"2024/10/03",2024,"0.473611111",-1.881316667,30.736145,"woodland","woodland",NA,"yes","faecal","elephant_savanna","Loxodonta africana","African Elephant","Herbivore",NA,"observed",NA,"soft","male","adult","no","no",NA,"SM",NA,NA,NA,NA
NA,4665,"S079365","JV338","JV338","2025/05/09","2025/05/19",39494,8,69665,63,"rwanda","Akagera","park",NA,"2024/10/11",2024,"0.456944444",-1.885816667,30.68344167,"woodland","woodland",NA,"yes","faecal","elephant_savanna","Loxodonta africana","African Elephant","Herbivore",NA,"<24hr",NA,"soft","unknown","unknown","no","no",NA,"ET",NA,NA,NA,NA
NA,4666,"S079368","JV338","JV338","2025/05/09","2025/05/19",36730,15,60326,53,"rwanda","Akagera","park",NA,"2024/10/11",2024,"0.459722222",-1.885068333,30.68338333,"woodland","woodland",NA,"yes","faecal","elephant_savanna","Loxodonta africana","African Elephant","Herbivore",NA,"3-7_days",NA,"soft","unknown","adult","no","no",NA,"ET",NA,NA,NA,NA
NA,4609,"S079397","JV338","JV338","2025/05/09","2025/05/19",36725,14,58636,68,"rwanda","Akagera","park",NA,"2024/10/10",2024,"0.382638889",-1.861231667,30.74027833,"woodland","woodland",NA,"yes","faecal","elephant_savanna","Loxodonta africana","African Elephant","Herbivore",NA,"<24hr",NA,"soft","unknown","juvenile","no","no",NA,"Emerance",NA,NA,NA,NA
NA,4823,"S079400","JV338","JV336","2025/05/09","2025/05/19",44829,4,26600,81,"rwanda","Akagera","park",NA,"2024/10/21",2024,"0.597222222",-1.737996667,30.743265,"grassland","grassland",NA,"yes","faecal","elephant_savanna","Loxodonta africana","African Elephant","Herbivore",NA,"observed",NA,"soft","male","adult","no","no",NA,"Adrien","Observed EM5 (Adult Male).",NA,NA,NA
NA,4650,"S079441","JV338","JV338","2025/05/09","2025/05/19",41401,17,102112,58,"rwanda","Akagera","park",NA,"2024/10/11",2024,"0.392361111",-1.882715,30.69795,"woodland","woodland",NA,"yes","faecal","elephant_savanna","Loxodonta africana","African Elephant","Herbivore",NA,"<24hr",NA,"soft","unknown","adult","no","no",NA,"ET",NA,NA,NA,NA
NA,3961,"S079490","JV338","JV336","2025/05/09","2025/05/19",46498,4,27010,54,"rwanda","Akagera","park",NA,"2024/09/20",2024,"0.34375",-1.87948,30.73677,"woodland","woodland",NA,"no","faecal","elephant_savanna","Loxodonta africana","African Elephant","Herbivore",NA,"<24hr",NA,"soft","unknown","adult","no","no",NA,"SM",NA,NA,NA,NA
NA,3525,"S079501","JV338","JV336","2025/05/09","2025/05/19",30252,10,24531,34,"rwanda","Akagera","park",NA,"2024/09/05",2024,"0.451388889",-1.506843333,30.65787167,"wetlands","wetlands",NA,"no","faecal","elephant_savanna","Loxodonta africana","African Elephant","Herbivore",NA,"<24hr",NA,"soft","unknown","juvenile","no","no",NA,"AN",NA,NA,NA,NA
NA,3826,"S079502","JV338","JV336","2025/05/09","2025/05/19",42489,7,25117,42,"rwanda","Akagera","park",NA,"2024/09/19",2024,"0.317361111",-1.880381667,30.73658333,"woodland","woodland",NA,"no","faecal","elephant_savanna","Loxodonta africana","African Elephant","Herbivore",NA,"<24hr",NA,"soft","unknown","unknown","no","no",NA,"Adrien",NA,NA,NA,NA
NA,3586,"S079538","JV338","JV338","2025/05/09","2025/05/19",41011,11,70103,66,"rwanda","Akagera","park",NA,"2024/08/30",2024,"0.436111111",-1.690226667,30.69206333,"woodland","woodland",NA,"yes","faecal","elephant_savanna","Loxodonta africana","African Elephant","Herbivore",NA,"<24hr",NA,"soft","unknown","adult","no","no",NA,"SM",NA,NA,NA,NA
NA,3495,"S079543","JV338","JV338","2025/05/09","2025/05/19",26042,28,86653,70,"rwanda","Akagera","park",NA,"2024/08/30",2024,"0.382638889",-1.863898333,30.73986833,"woodland","woodland",NA,"yes","faecal","elephant_savanna","Loxodonta africana","African Elephant","Herbivore",NA,"<24hr",NA,"soft","unknown","unknown","no","no",NA,"SM",NA,NA,NA,NA
NA,3520,"S079550","JV338","JV336","2025/05/09","2025/05/19",46691,5,25303,37,"rwanda","Akagera","park",NA,"2024/09/05",2024,"0.41875",-1.532071667,30.69437667,"woodland","woodland",NA,"no","faecal","elephant_savanna","Loxodonta africana","African Elephant","Herbivore",NA,"<24hr",NA,"soft","unknown","adult","no","no",NA,"Adrien",NA,NA,NA,NA
